_---------------------------------------------------------------------------
          Timestamp |  Manual Counts |  Filtered by Signal |  Not Filtered
_---------------------------------------------------------------------------
2017-12-20 12:31:00 |            120 |                 136 |           641
2017-12-20 12:32:00 |             96 |                  89 |           566
2017-12-20 12:33:00 |            165 |                 126 |           575
2017-12-20 12:34:00 |            111 |                 134 |           613
2017-12-20 12:35:00 |            117 |                 148 |           625
2017-12-20 12:36:00 |            113 |                 168 |           646
2017-12-20 12:37:00 |            117 |                 140 |           671
2017-12-20 12:38:00 |            113 |                 150 |           619
2017-12-20 12:39:00 |            119 |                 135 |           628
2017-12-20 12:40:00 |            112 |                 156 |           677
2017-12-20 12:41:00 |            114 |                 154 |           682
2017-12-20 12:42:00 |            118 |                 160 |           617
2017-12-20 12:43:00 |            109 |                 131 |           618
2017-12-20 12:44:00 |            100 |                 122 |           643
2017-12-20 12:45:00 |             92 |                 125 |           480
2017-12-20 12:46:00 |            108 |                 137 |           569
2017-12-20 12:47:00 |            109 |                 108 |           647
2017-12-20 12:48:00 |            101 |                 153 |           628
2017-12-20 12:49:00 |            101 |                 119 |           583
2017-12-20 12:50:00 |            102 |                 155 |           580
2017-12-20 12:51:00 |            120 |                 120 |           575
2017-12-20 12:52:00 |            109 |                 141 |           579
2017-12-20 12:53:00 |            132 |                 139 |           594
2017-12-20 12:54:00 |            140 |                 144 |           616
2017-12-20 12:55:00 |            130 |                 155 |           540
2017-12-20 12:56:00 |            104 |                 153 |           601
2017-12-20 12:57:00 |             99 |                 134 |           579
2017-12-20 12:58:00 |            135 |                 155 |           595
2017-12-20 12:59:00 |            136 |                 134 |           520
2017-12-20 13:00:00 |            126 |                 150 |           536
2017-12-20 13:01:00 |            113 |                 165 |           542
2017-12-20 13:02:00 |             97 |                 163 |           541
_---------------------------------------------------------------------------
